station,nom,superficie_km2,hiver_Q2_7,hiver_Q10_7,hiver_Q5_30,ete_Q2_7,ete_Q10_7,ete_Q5_30,commentaires
023004,Boyer,191.0,0.458,0.23,0.365,0.196,0.081,0.214,1996-2020
023106,Du Sud,821.0,3.14,2.15,2.79,2.37,1.25,2.52,1970-2020
023303_01,Etchemin,1152.0,4.53,3.01,3.93,3.23,1.8,3.54,023301 : 1970-1979 023303 : 1980-2021
023401,Beaurivage,708.0,2.26,1.42,1.93,1.31,0.65,1.27,1970-2020
023402,Chaudière,5820.0,19.72,11.31,16.36,9.91,5.8,10.87,1970-2020
023403,Chaudière,1170.0,5.15,3.18,4.64,2.86,1.33,2.72,1970-1983
023422,Famine,696.0,1.457,0.72,1.195,0.681,0.307,0.833,1970-2020
023432,Bras Henri,154.0,0.378,0.217,0.314,0.249,0.124,0.23,1972-2020
023702_01,Petite rivière du Chêne,385.0,1.082,0.707,0.994,0.593,0.317,0.54,023701 : 1972-2007 023702 : 2007-2021
024003,Bécancour,914.0,4.2,2.68,3.68,2.11,0.8,2.02,1970-2019
024014,Bécancour,2163.0,10.31,5.81,8.16,5.72,2.35,5.05,1970-2020
024015,Bourbon,48.1,0.174,0.099,0.162,0.075,0.011,0.059,2006-2020
030101,Nicolet Sud-Ouest,562.0,1.981,1.13,1.88,0.747,0.376,0.773,1970-2020
030103,Nicolet,1540.0,5.67,3.76,5.33,2.8,1.55,2.86,1970-2020
030106,Bulstrode,344.0,1.16,0.72,1.2,0.354,0.085,0.369,Hiver 1989-2021
030215,Coaticook,514.0,2.304,1.53,2.263,1.251,0.72,1.324,1970-2020
030234,Eaton,646.0,2.134,1.205,1.93,1.053,0.577,1.22,1970-2020
030282,Au Saumon,769.0,3.04,1.84,2.91,1.401,0.862,1.703,Hiver 1989-2021
030299_91_62,St-Germain,273.0,0.712,0.352,0.569,0.302,0.121,0.263,030262 : 1972-1985
030304,Noire,1505.0,3.908,1.952,3.337,1.348,0.653,1.549,1970-2020
030316,David,323.0,0.497,0.252,0.413,0.139,0.061,0.124,1970-2020
030335,Yamaska Nord,59.3,0.248,0.143,0.262,0.112,0.062,0.12,1979-1996
030340,Yamaska Nord,235.0,1.98,1.47,2.03,1.37,1.08,1.48,1983-2020
030343,Yamaska Nord,31.2,0.148,0.077,0.16,0.042,0.012,0.041,1984-2020
030345_41_34,Yamaska,3334.0,12.39,6.67,11.62,4.46,2.12,4.43,030334 : 1976-1983
030346,Noire,585.0,1.514,0.819,1.672,0.29,0.071,0.344,030339 : 1980-1997 030346 : 1997-2003
030348,Runnels,102.0,0.156,0.054,0.153,0.01,0.001,0.015,2000-2020
030415,Des Hurons,308.0,0.49,0.28,0.47,0.162,0.081,0.172,Hiver 1982-2021
030420,Aux Brochets,395.0,1.331,0.746,1.3,0.266,0.061,0.265,1979-2012
030421,L'Acadie,367.0,0.427,0.212,0.384,0.116,0.049,0.142,1979-2020
030423,Aux Morpions,94.1,0.223,0.104,0.193,0.052,0.024,0.057,1999-2020
030424,Aux Brochets,584.0,1.903,0.932,1.768,0.471,0.163,0.484,2001-2020
030425,De la Roche,72.6,0.128,0.073,0.155,0.017,0.004,0.026,2001-2020
030426,Ewing,26.3,0.038,0.012,0.031,0.01,0.003,0.011,2001-2020
030429,À l'Ours,35.1,0.071,0.038,0.078,0.005,0.002,0.01,2006-2020
030905,Châteauguay,2492.0,10.1,6.575,8.968,4.32,2.733,4.224,1970-2023
030907,Des Anglais,642.0,1.48,0.817,1.289,0.326,0.092,0.291,1973-2023
030919,Châteauguay,1051.0,5.98,4.21,6.23,3.92,3.52,4.04,2004-2020
030920,Noire,46.5,0.191,0.085,0.172,0.044,0.026,0.043,2005-2020
030921,Des Anglais,246.0,0.885,0.506,1.011,0.143,0.076,0.149,2005-2020
040129,Doncaster,406.0,0.667,0.47,0.578,0.475,0.306,0.497,1976-2020
040201,Rouge,2570.0,14.75,11.92,13.34,16.97,9.64,13.59,1970-1982
040204,Rouge,5479.0,37.0,26.16,32.04,26.81,16.22,23.21,1970-2020
040212,Ruis_St-Louis,40.0,0.174,0.119,0.15,0.108,0.042,0.103,1970-2020
040406,De la Petite Nation,1331.0,10.12,6.28,7.27,4.57,2.39,3.34,1970-2020
040409,Ruis_Suffolk,61.6,0.357,0.226,0.331,0.078,0.04,0.079,1978-2020
040830,Gatineau,6768.0,32.1,24.47,28.23,34.92,19.26,29.85,1976-2020
040840_14,Picanoc,1227.0,8.88,6.12,7.08,4.39,2.76,3.76,040814 : 1976-2004
040841_10,Désert,1646.0,10.58,7.05,8.5,5.6,3.37,4.49,040810 : 1970-1996
041301,Coulonge,5150.0,20.85,16.45,18.08,16.59,11.23,15.01,1970-1992
041902,Dumoine,3756.0,21.38,15.97,17.86,15.75,9.15,12.49,1970-2020
041903,Dumoine,2110.0,12.5,10.3,11.35,10.23,6.94,8.72,Hiver : 1970-1996
042103,Maganasipi,575.0,2.506,1.58,2.041,1.266,0.341,0.842,1971-2003
043012,Kinojévis,2594.0,12.97,8.13,11.2,12.97,8.13,11.2,Hiver : 2004-2021
043030,Capitachouane,1090.0,,,,7.304,4.094,5.914,Station saisonnière 2005-2021
046709_08_01,Du Chêne,196.0,0.523,0.306,0.47,0.286,0.203,0.293,046701 : 1971-1979
050119,Matawin,1387.0,8.81,6.44,7.74,5.57,3.09,4.98,1970-2020
050135,Croche,1563.0,7.26,5.48,6.38,8.42,5.29,7.66,1970-2020
