station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
023422,Les Produits Forestiers D&G Ltée,73746.0,Scieries & préservation du bois,Saint-Côme--Linière,0.00024385995370370374,0.0023999355,2023.0,2024.0,12
023432,VILLE DE BEAUCEVILLE,48836.0,Réseaux d'aqueduc & systèmes d'irrigation,Beauceville,0.025748370883114297,0.340247402,2020.0,2024.0,1
023432,GROUPE COLAS QUÉBEC INC.,63194.0,Extraction de pierre,Lévis,0.02370095579450418,0.313293,2023.0,2024.0,2
023432,SANIMAX ACI INC.,63052.0,Fonte graisse animale & transf. de viande carc.,Lévis,0.008456661688570292,0.1117792,2020.0,2024.0,3
023432,Club de golf Le Royal Chaudière inc.,46679.0,Terrains de golf & country clubs,Lévis,0.00530950078116476,0.057132067,2020.0,2024.0,4
023432,PAVAGES ABENAKIS LTEE,47570.0,Extraction de pierre,Saint-Georges,0.004833463317123448,0.0247224,2020.0,2024.0,5
023432,2973-9711 Québec inc.,45186.0,Terrains de golf & country clubs,Saint-Benoît-Labre,0.0020782433116774196,0.012150885,2020.0,2024.0,6
023432,Club de golf St-Georges 1964,44437.0,Terrains de golf & country clubs,Saint-Georges,0.002055562220734918,0.01098725,2021.0,2024.0,7
023432,COOPÉRATIVE DE SOLIDARITÉ DU CLUB DE GOLF DU LAC MÉGANTIC,47842.0,Terrains de golf & country clubs,Frontenac,0.0003153214605734767,0.00417125,2020.0,2024.0,8
024003,CARRIÈRES P.C.M. INC.,43762.0,Extraction de grès,Saint-Wenceslas,0.014242963935160575,0.0685975,2021.0,2022.0,1
024003,ORICA CANADA INC.,48421.0,Fab. d'explosifs,Saint-Joseph-de-Coleraine,0.0056477810135404215,0.074403,2020.0,2023.0,2
024003,Gestion G. Desloges inc.,45454.0,Terrains de golf & country clubs,Princeville,0.0028876387886804552,0.0218253,2020.0,2020.0,3
024003,Municipalité de Saint-Ferdinand,49981.0,Réseaux d'aqueduc & systèmes d'irrigation,Irlande,0.002772043010752688,0.036608,2024.0,2024.0,4
024003,CLUB DE GOLF DE PLESSISVILLE (1990) INC.,72842.0,Réseaux d'aqueduc & systèmes d'irrigation,Princeville,0.0025783721821290243,0.01112958,2021.0,2024.0,5
024003,MUNICIPALITE DE SAINT-PIERRE-DE-BROUGHTON,51607.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Pierre-de-Broughton,0.0009446265183193946,0.012486825,2021.0,2024.0,6
