station,nom,plan_deau,bv_prim,superfi_km2,n_sites_amont,n_sites_etiage,debit_obs_m3s,q27_ete_m3s,debit_preleve_etiage_m3s,pression_etiage_pct,debit_preleve_mois_01_m3s,debit_preleve_mois_02_m3s,debit_preleve_mois_03_m3s,debit_preleve_mois_04_m3s,debit_preleve_mois_05_m3s,debit_preleve_mois_06_m3s,debit_preleve_mois_07_m3s,debit_preleve_mois_08_m3s,debit_preleve_mois_09_m3s,debit_preleve_mois_10_m3s,debit_preleve_mois_11_m3s,debit_preleve_mois_12_m3s,lat,lon,source_coords,prelevements_caracterises
051002,Des Eaux Volées,Des Eaux Volées,0510 -Rivière Montmorency,3.8,0,0,,0.059,,,,,,,,,,,,,,,47.27172,-71.16222,atlas_arcgis,0
051003,Des Eaux Volées,Des Eaux Volées,0510 -Rivière Montmorency,9.1,0,0,,0.114,,,,,,,,,,,,,,,47.27061,-71.13714,atlas_arcgis,0
051004,Des Aulnaies,Des Aulnaies,0510 -Rivière Montmorency,1.1,0,0,,0.012,,,,,,,,,,,,,,,47.28997,-71.16192,atlas_arcgis,0
051007,Des Aulnaies,Des Aulnaies,0510 -Rivière Montmorency,3.7,0,0,,0.036,,,,,,,,,,,,,,,47.27224,-71.15971,atlas_arcgis,0
052235,Saint-Pierre,Saint-Pierre,0522 -Rivière L'Assomption,27.8,0,0,,0.025,,,,,,,,,,,,,,,45.97733,-73.43989,atlas_arcgis,0
054001,Beauport,Beauport,0540 -Beauport,23.9,0,0,,0.219,,,,,,,,,,,,,,,46.86405,-71.20617,atlas_arcgis,0
076101,Saint-Augustin,Saint-Augustin,0761 -Saint-Augustin,5750.0,0,0,,68.06,,,,,,,,,,,,,,,51.61251,-58.70144,atlas_arcgis,0
076201,Coxipi,Coxipi,0762 -Coxipi,1060.0,0,0,,12.55,,,,,,,,,,,,,,,51.50223,-58.39504,atlas_arcgis,0
080701,Nottaway,Nottaway,0807 -Rivière Nottaway,57500.0,0,0,,713.8,,,,,,,,,,,,,,,50.13453,-77.42081,atlas_arcgis,0
080704,Waswanipi,Waswanipi,0807 -Rivière Nottaway,18700.0,0,0,,241.28,,,,,,,,,,,,,,,49.69675,-75.98463,atlas_arcgis,0
080718,Waswanipi,Waswanipi,0807 -Rivière Nottaway,31964.0,0,0,,393.0,,,,,,,,,,,,,,,49.8575,-77.18722,atlas_arcgis,0
080809,Broadback,Broadback,0808 -Broadback,9855.0,0,0,,134.15,,,,,,,,,,,,,,,50.74581,-76.38719,atlas_arcgis,0
081002,De Rupert,De Rupert,0810 -De Rupert,40900.0,0,0,,798.1,,,,,,,,,,,,,,,51.44871,-76.86606,atlas_arcgis,0
081006,Témiscamie,Témiscamie,0810 -Témiscamie,7280.0,0,0,,111.84,,,,,,,,,,,,,,,51.08341,-72.87728,atlas_arcgis,0
081007,De Rupert,De Rupert,0810 -De Rupert,18100.0,0,0,,420.4,,,,,,,,,,,,,,,51.04203,-73.80982,atlas_arcgis,0
081101,Pontax,Pontax,0811 -Pontax,5970.0,0,0,,38.1,,,,,,,,,,,,,,,51.53347,-78.09648,atlas_arcgis,0
090613,Eastmain,Eastmain,0906 -Eastmain,21400.0,0,0,,322.01,,,,,,,,,,,,,,,52.17121,-74.5918,atlas_arcgis,0
092715,De Pontois,De Pontois,0927 -De Pontois,13200.0,0,0,,209.97,,,,,,,,,,,,,,,53.16762,-74.47262,atlas_arcgis,0
093302,Anistuwach,Anistuwach,0933 -Anistuwach,4370.0,0,0,,45.16,,,,,,,,,,,,,,,54.41515,-78.80307,atlas_arcgis,0
093801,Grande rivière de la Baleine,Grande rivière de la Baleine,0938 -Grande rivière de la Baleine,32469.0,0,0,,443.7,,,,,,,,,,,,,,,55.23789,-76.98478,atlas_arcgis,0
093804,Denys,Denys,0938 -Denys,4660.0,0,0,,47.84,,,,,,,,,,,,,,,55.00849,-77.06354,atlas_arcgis,0
094502,À l'Eau Claire,À l'Eau Claire,0945 -À l'Eau Claire,3830.0,0,0,,79.74,,,,,,,,,,,,,,,56.16961,-74.38784,atlas_arcgis,0
094701,Du Nord,Du Nord,0947 -Du Nord,1410.0,0,0,,17.49,,,,,,,,,,,,,,,56.53463,-76.21376,atlas_arcgis,0
095002,Nastapoca,Nastapoca,0950 -Nastapoca,12500.0,0,0,,220.91,,,,,,,,,,,,,,,56.8613,-76.20792,atlas_arcgis,0
095003,Lac des loups marins,Lac des loups marins,0950 -Lac des loups marins,9176.0,0,0,,122.44,,,,,,,,,,,,,,,56.45453,-74.23147,atlas_arcgis,0
102706,Aux Feuilles,Aux Feuilles,1027 -Aux Feuilles,33700.0,0,0,,255.6,,,,,,,,,,,,,,,58.27778,-71.31167,atlas_arcgis,0
103603,Aux Mélèzes,Aux Mélèzes,1036 -Aux Mélèzes,8830.0,0,0,,42.67,,,,,,,,,,,,,,,57.25852,-71.07908,atlas_arcgis,0
103605,Aux Mélèzes,Aux Mélèzes,1036 -Aux Mélèzes,40429.0,0,0,,248.02,,,,,,,,,,,,,,,57.6797,-69.6171,atlas_arcgis,0
103715,Swampy Bay,Swampy Bay,1037 -Swampy Bay,8999.0,0,0,,97.55,,,,,,,,,,,,,,,56.64291,-68.56315,atlas_arcgis,0
103801,False,False,1038 -False,2140.0,0,0,,13.45,,,,,,,,,,,,,,,57.67098,-68.26922,atlas_arcgis,0
104001,À la Baleine,À la Baleine,1040 -À la Baleine,29878.0,0,0,,219.52,,,,,,,,,,,,,,,57.88856,-67.60008,atlas_arcgis,0
104803,George,George,1048 -George,24098.0,0,0,,243.8,,,,,,,,,,,,,,,56.783,-64.86811,atlas_arcgis,0
120201,Dauphine,Dauphine,1202 -Dauphine,26.6,0,0,,0.021,,,,,,,,,,,,,,,46.96669,-70.85569,atlas_arcgis,0
